Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,38.270000,39.000000,37.560001,38.560001,38.560001,27073800
2021-07-20,38.630001,40.820000,38.430000,40.660000,40.660000,17690600
2021-07-21,41.009998,42.200001,41.000000,41.610001,41.610001,19145300
2021-07-22,41.340000,41.560001,40.410000,41.060001,41.060001,10850600
2021-07-23,41.320000,41.630001,40.320000,40.410000,40.410000,10101600
2021-07-26,40.340000,41.700001,40.310001,41.669998,41.669998,10014900
2021-07-27,41.360001,41.490002,40.500000,40.959999,40.959999,10508200
2021-07-28,41.369999,41.650002,40.630001,41.299999,41.299999,7538600
2021-07-29,41.439999,41.630001,40.950001,41.230000,41.230000,8357400
2021-07-30,40.650002,41.060001,39.750000,39.900002,39.900002,12180800
2021-08-02,40.040001,40.970001,39.400002,39.450001,39.450001,11084800
2021-08-03,39.500000,39.849998,38.549999,39.770000,39.770000,14670600
2021-08-04,39.150002,39.480000,37.900002,38.349998,38.349998,23023700
2021-08-05,38.490002,40.160000,38.470001,39.990002,39.990002,15652400
2021-08-06,40.540001,40.680000,39.480000,40.320000,40.320000,11707800
2021-08-09,40.020000,40.020000,38.750000,39.290001,39.290001,10985000
2021-08-10,39.349998,41.029999,39.209999,40.459999,40.459999,13745300
2021-08-11,40.000000,41.299999,39.680000,41.299999,41.299999,12452000
2021-08-12,41.000000,41.130001,40.049999,40.529999,40.529999,9802100
2021-08-13,40.310001,40.570000,39.790001,39.900002,39.900002,7192600
2021-08-16,39.450001,40.020000,38.880001,39.930000,39.930000,10923400
2021-08-17,39.250000,39.459999,38.279999,38.779999,38.779999,11442000
2021-08-18,38.689999,39.470001,38.400002,38.650002,38.650002,8612300
2021-08-19,38.430000,38.529999,37.310001,37.930000,37.930000,12294000
2021-08-20,37.990002,38.250000,37.750000,38.119999,38.119999,8203100
2021-08-23,38.790001,39.330002,38.630001,39.209999,39.209999,8584700
2021-08-24,39.860001,40.869999,39.820000,40.529999,40.529999,10805000
2021-08-25,40.590000,41.439999,40.160000,41.299999,41.299999,12455900
2021-08-26,41.110001,41.480000,40.279999,40.770000,40.770000,10032900
2021-08-27,40.849998,41.750000,40.820000,41.520000,41.520000,7926500
2021-08-30,41.750000,41.799999,39.880001,39.910000,39.910000,11882100
2021-08-31,39.730000,40.590000,39.619999,40.439999,40.439999,8627200
2021-09-01,40.570000,40.580002,39.880001,40.400002,40.400002,8434600
2021-09-02,40.450001,41.060001,39.860001,40.820000,40.820000,9345500
2021-09-03,40.799999,41.189999,40.150002,40.250000,40.250000,6644300
2021-09-07,40.180000,40.520000,39.840000,40.349998,40.349998,8233900
2021-09-08,40.400002,40.919998,39.599998,39.650002,39.650002,7156100
2021-09-09,39.619999,41.770000,39.450001,41.090000,41.090000,15509400
2021-09-10,41.049999,41.130001,39.349998,39.360001,39.360001,12492400
2021-09-13,39.700001,40.180000,38.799999,40.180000,40.180000,11556300
2021-09-14,39.840000,40.180000,39.220001,39.439999,39.439999,8837700
2021-09-15,39.250000,39.700001,38.820000,39.639999,39.639999,8175800
2021-09-16,39.869999,40.669998,39.680000,40.220001,40.220001,9485200
2021-09-17,40.549999,40.990002,39.790001,40.110001,40.110001,11011500
2021-09-20,40.549999,40.840000,39.419998,40.779999,40.779999,16633900
2021-09-21,41.049999,41.740002,40.139999,40.360001,40.360001,11837600
2021-09-22,40.680000,41.950001,40.680000,41.590000,41.590000,11599300
2021-09-23,41.900002,42.770000,41.720001,42.590000,42.590000,12651000
2021-09-24,42.840000,43.740002,42.669998,43.529999,43.529999,13478500
2021-09-27,43.900002,45.060001,43.750000,43.779999,43.779999,14467500
2021-09-28,43.660000,44.209999,43.310001,43.439999,43.439999,9434700
2021-09-29,43.689999,43.990002,42.750000,43.360001,43.360001,9141100
2021-09-30,43.060001,43.080002,42.369999,42.610001,42.610001,9789200
2021-10-01,43.950001,45.650002,43.889999,45.380001,45.380001,19205700
2021-10-04,45.790001,46.000000,44.810001,44.959999,44.959999,13342500
2021-10-05,44.990002,45.560001,44.459999,44.740002,44.740002,9596000
2021-10-06,43.709999,44.139999,43.220001,44.020000,44.020000,10145800
2021-10-07,44.520000,44.580002,43.520000,43.680000,43.680000,8881200
2021-10-08,43.790001,43.799999,43.090000,43.380001,43.380001,7332700
2021-10-11,42.990002,43.939999,42.720001,43.189999,43.189999,9085700
2021-10-12,43.040001,43.810001,42.770000,43.540001,43.540001,10515200
2021-10-13,42.740002,42.740002,40.889999,41.029999,41.029999,28236900
2021-10-14,41.180000,41.490002,40.880001,41.200001,41.200001,16285400
2021-10-15,41.889999,42.270000,40.950001,40.990002,40.990002,13842000
